22,24,35,43,49,53,51,48,51,62
68,69,68,72,82,86,93,92,92,93
94,94,95,95,96,96,97,99,99,115
84,84,84,84,86,89,95,98,99,115
101,101,101,101,101,101,101,101,101,115
27,18,1,8,29,52,76,89,97,115
46,39,8,27,39,60,72,83,95,115
31,27,26,18,12,32,63,72,91,115
100,100,100,100,100,100,100,100,100,115
35,49,52,55,56,57,61,62,63,64
67,68,70,75,77,82,83,86,99,115
74,74,77,77,77,76,83,100,100,115
72,66,55,44,39,37,55,78,90,115
75,58,31,15,1,28,56,67,74,89
82,72,22,10,4,18,31,36,44,52
58,64,66,72,74,82,87,91,97,115
74,74,76,81,84,91,93,96,99,115
0,22,42,47,57,63,68,74,95,115
34,37,44,53,62,71,81,91,100,115
83,52,42,33,30,25,20,20,21,25
27,30,32,33,35,36,37,38,41,44
45,47,50,60,75,81,83,86,95,115
65,70,77,80,90,86,89,93,100,115
32,27,19,11,1,6,8,10,12,19
25,27,31,37,49,61,66,69,70,72
79,82,83,86,87,89,93,97,98,115
76,76,76,76,76,75,75,76,77,78
79,81,82,85,87,90,93,96,99,115
91,90,90,91,92,92,95,98,99,115
61,57,53,50,50,50,51,49,48,48
47,47,47,48,47,49,49,50,51,72
50,37,10,11,45,53,60,70,82,115
97,93,91,82,79,78,72,49,29,21
19,18,23,31,42,45,53,76,83,88
75,62,58,50,45,37,25,12,8,0
65,51,36,28,23,18,13,8,7,21
26,35,45,50,69,82,85,88,97,115
77,79,82,83,84,86,87,89,94,115
46,39,40,40,40,42,43,44,45,46
46,47,49,53,54,55,57,58,59,62
65,66,67,68,72,96,100,100,100,115
100,100,100,100,100,100,100,100,100,100
89,85,73,68,63,77,85,89,95,115
67,65,60,58,56,54,51,49,47,44
42,39,37,33,30,27,23,21,18,13
11,5,5,11,14,18,20,23,27,32
35,38,40,43,53,64,73,84,94,115
46,11,3,15,24,35,41,60,69,74
52,54,52,52,50,55,58,65,82,89
84,81,79,76,73,70,67,64,61,59
56,54,52,50,46,40,38,35,30,21
97,88,75,61,56,45,36,32,29,25
18,18,25,36,43,63,71,75,80,81
81,81,81,81,81,83,88,92,97,115
38,35,24,2,5,17,24,47,67,77
5,1,14,18,27,56,68,80,94,115
67,72,80,85,90,90,94,97,100,115
75,61,21,2,16,30,66,77,82,88
98,91,90,89,85,84,83,76,74,73
74,75,72,71,70,68,72,81,92,115
49,42,35,19,15,2,11,21,30,33
33,33,38,43,59,67,76,86,95,115
33,32,33,37,49,62,70,86,92,115
35,29,28,28,28,28,23,20,17,13
15,20,31,34,56,62,69,80,98,115
45,36,27,30,32,35,38,29,7,1
2,5,9,14,17,16,12,12,26,33
33,30,34,41,47,61,69,84,92,115
29,21,13,5,4,13,19,26,37,47
53,58,67,73,81,86,91,96,101,115
71,68,65,63,60,55,54,52,44,41
39,37,33,30,28,26,27,28,29,30
31,31,32,33,37,59,67,79,99,115
76,76,76,75,75,75,75,74,74,73
73,73,72,72,72,71,71,70,70,70
70,69,69,69,68,68,68,68,69,68
60,52,45,37,29,22,20,21,21,15
13,11,6,1,11,22,26,32,36,40
43,47,50,54,70,76,80,92,98,115
74,57,52,48,43,29,24,27,32,37
46,59,70,69,67,64,63,61,76,83
87,92,95,95,93,92,91,90,98,115
31,29,31,36,42,50,80,92,99,115
83,76,69,61,41,26,27,29,30,31
32,33,33,33,34,35,36,36,37,38
39,40,41,41,51,72,86,94,100,115
67,69,71,75,83,87,92,94,96,115
36,19,22,30,34,29,25,20,6,11
31,29,24,24,34,51,63,86,96,115
23,28,39,55,59,66,78,83,90,115
18,18,18,18,20,21,24,25,23,35
47,58,63,65,67,74,77,90,96,115
44,46,52,72,75,76,78,80,90,115
52,36,10,4,1,5,11,26,93,115
50,50,48,46,51,60,78,84,95,115
79,79,80,80,80,81,79,76,73,73
72,71,69,68,67,66,66,65,64,63
63,63,63,54,50,50,53,54,55,56
57,58,63,66,70,73,76,83,90,115
88,80,68,66,67,65,60,55,50,35
20,6,1,8,22,35,47,54,93,115
65,61,70,72,75,82,88,95,98,115
26,27,28,30,33,37,39,40,41,42
46,50,54,55,56,57,59,60,62,65
67,69,71,72,75,78,82,85,96,115
49,33,26,15,7,28,35,33,32,41
49,58,66,74,83,85,90,93,96,115
4,0,2,4,5,35,42,52,94,115
72,71,68,67,63,56,53,49,39,36
35,34,34,34,34,35,35,36,37,39
43,48,49,60,66,73,80,87,94,115
54,57,60,61,68,81,91,92,96,115
34,31,29,27,25,23,21,20,19,19
17,15,15,18,25,31,41,46,51,57
61,62,69,71,73,76,81,86,93,115
54,45,39,35,29,25,25,24,25,28
29,30,32,34,38,47,52,61,70,86
45,39,34,29,29,29,30,33,33,33
33,35,42,49,57,81,86,92,96,115
1,21,49,61,86,98,98,98,98,115
48,11,1,20,31,44,60,76,91,115
66,69,72,76,79,83,88,92,97,115
91,88,85,81,78,75,65,61,55,51
41,31,22,12,2,6,9,27,34,40
46,54,61,86,89,89,90,90,96,115
55,58,60,72,75,82,85,91,94,115
91,90,86,86,85,85,80,77,74,72
81,83,88,85,79,70,61,53,44,16
15,22,27,31,30,25,24,31,55,61
71,76,82,89,92,92,93,94,99,115
97,63,46,32,29,24,22,20,18,5
29,38,52,56,57,58,61,74,90,115
75,71,59,47,35,31,24,10,7,6
2,14,29,49,58,67,77,90,95,115
31,25,25,29,34,44,52,60,73,87
